hatespeech,csType,counterspeech,hatespeechTarget,Emotion
We are being invaded by immigrants.,Informative,Many immigrants are children of the usa. they are part of the family. they should be protected from discrimination.,immigrants,joy
All women with titillating dresses are just looking for sex. They are whores.,Denouncing,"Clothing choices do not define a person's character or intentions, and using derogatory language only perpetuates harmful stereotypes.",women,disgust
They got nothing but their hateful Islam!,Denouncing,This accusation is false and completely without foundation.,muslims,anger
Jewish folks arent part of our society.,Positive,"I understand that we all have different backgrounds and beliefs, but it's important to remember that diversity is what makes our society so vibrant. jewish folks have been an integral part of our community for centuries, contributing in countless ways. let's focus on building bridges and fostering understanding instead of drawing lines. together, we can create a more inclusive and harmonious society that celebrates our differences.",jews,anger
"They are disabled. This means that they are weak, and unworthy of love.",Questioning,Being disabled does not mean they can't receive and requite love. don't we all love?,people_with_physical_disability,joy
We are different slant eyes denote stupid people.,Denouncing,"This sounds like xenophobia, whichever eyes people see it from.",other,disgust
Blacks dont have brains.,Informative,"Brain is considered the most basic organ, it has been used by all humans for a very long time. to suggest otherwise is a 'brainless' form of racism.",black_people,disgust
"I hate feminists, they take all our jobs and shit. We have enough women already.",Denouncing,"We do not need misogynysts, we already have enough of them.",women,anger
You are a Muslim and I hate everything about you.,Questioning,Is there any evidence to support the claim that islam is being systematically used for global imposition and laws?,muslims,anger
"What is feminism? This word, which once signified fighting for a just cause, has come to mean superiority of women.",Positive,"I understand that you may have some concerns about feminism and how the term has evolved over time. it's important to remember that feminism is about advocating for equal rights and opportunities for all genders, rather than promoting superiority. it's natural for language to change and evolve, and sometimes misunderstandings can arise. by engaging in open dialogue, we can clarify misconceptions and work towards a more inclusive society for all. let's keep the conversation respectful and explore different perspectives together.",women,joy
"Islam is not about love, equality and integration, how can you be in favour of such extremist intolerance?",Positive,"I understand that you have concerns about islam, but let's not generalize based on extreme examples. like any religion, islam promotes various values, including love, equality, and integration. it's important to remember that the actions of a few don't define the beliefs of an entire community. instead of focusing on the negative, let's build bridges of understanding and engage in respectful conversations. together, we can foster a society where empathy and acceptance thrive. let's work towards a world where we embrace diversity and find common ground. 💙",muslims,joy
Illegal immigrants steal our jobs.,Positive,"It's understandable that you may have concerns about job opportunities, but it's important to approach the topic with empathy. it's incorrect to generalize and say that illegal immigrants are stealing jobs. in reality, studies have shown that immigrants contribute to the economy through their labor and entrepreneurship. let's strive for a more inclusive society that values diversity, while also addressing the complexities of employment in a fair and equitable manner.",immigrants,anger
The European world is being overrun and replaced by immigrants and Muslims.,Informative,These immigrants are not replacing europeans. maybe you should check some statistics.,immigrants,surprise
"He has found a person who publicly critisizes Islam and muslim radicalism, as all western people hate Islam.",Denouncing,"It is important to note that not all western people hate islam. such generalizations only fuel division and prejudice, hindering efforts for understanding and tolerance.",muslims,disgust
"Jews are worse than Nazis, they have no conscience and they have no moral code.",Informative,"This statement is factually incorrect and promotes harmful stereotypes. jews are not worse than nazis; in fact, they were the victims of the holocaust under nazi rule. jews, like any other group, consist of individuals with diverse beliefs, values, and moral codes. jewish communities have made significant contributions to various fields such as science, arts, and philanthropy. it is important to reject hateful rhetoric and promote understanding and respect for all individuals, regardless of their religious or ethnic background.",jews,anger
All these autistic people are endangering our society.,Positive,I'd like to see a reduction in cases of discrimination against autistic people. they are no danger.,people_with_mental_disability,anger
"Gay men are perverts publicly condoning sexual violence, who have no place in a civilised society.",Informative,Gays are not 'publicly condoning sexual violence' and gay men deserve the same protection as all people.,lgbtq+,disgust
"We can be tolerant and diverse also without migrants. We dont need them for this, they can return to their home countries.",Questioning,Does welcoming people of different backgrounds and beliefs not contribute to a more diverse and inclusive society?,refugees,disgust
"Feminism is a witch hunt, driven by an underground, female dominated movement to subvert society and enforce their radical feminism.",Informative,"It's a witch hunt when so many people are willing to believe in lies, harass, and fabricate incidents in an effort to create a climate of fear. this is simply an attempt to silence debate and hold 'men's rights activists' accountable",women,disgust
Gypsies are dirty,Denouncing,"No, your attitude towards them is dirty. clean up your conscience.",gypsies,disgust
"Took this in Wanstead, east London. An area with CUR1m+ houses. Beggars on the high st someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as racist. Caption to a photo of a homeless person sleeping on a part bench",Informative,There are more than enough empty homes in this country right now to house every single homeless person. there is also more than enough wealth in this country to build new homes. we can house our ‘own people’ but the government chooses not to. homelessness is an issue of wealth inequality not migration – if you genuinely care about poverty issues like homelessness you need to be questioning power structures and wealth distribution.,immigrants,sadness
"Im sorry, but lesbians tend to have babies out of wedlock. That just doesnt gel.",Questioning,Is there scientific consensus supporting the claim that homosexuality is a mental disorder? can we focus on promoting acceptance and inclusivity instead?,lgbtq+,disgust
"Women must stop acting like rape victims apologists, because this is just a ruse created by women to exploit and dominate men. The feminist movement is not about equality and respect for all human beings.",Informative,"Sadly, in the real world, there is often a strong tendency to misinterpret a movement as a demand for some privileges, such as 'not being raped'. that's why men and women engage in a lot of actions that seem strictly feminist in everyday life.",women,sadness
All these autistic people are endangering our society.,Positive,I'd like to see a reduction in cases of discrimination against autistic people. they are no danger.,people_with_mental_disability,disgust
"Feminism does not have any scientific basis, it should be rejected.",Positive,"While it's true that feminism is not based on traditional scientific research, it is a valid movement that aims to address gender inequalities and promote equal rights. feminism is grounded in the lived experiences of women and seeks to challenge societal norms and stereotypes. rather than rejecting it outright, it is important to engage in constructive dialogues and understand the diverse perspectives feminism offers to create a more inclusive and equitable society for all.",women,joy
God says that faggots are evil.,Positive,"I appreciate you speaking your mind, but i wanted to share a different perspective with you. we should strive to treat everyone with kindness and respect, regardless of their sexual orientation. love and acceptance are important values in my book. it's important to remember that we all have different beliefs, but it's through understanding and empathy that we can build a more inclusive and diverse society. let's focus on spreading love and compassion rather than perpetuating hate.",lgbtq+,joy
Gays are some kind of devil worshippers. We shouldnt have them here.,Denouncing,Accusing gay people of devil worship just shows what kind of an outright homophobic person you are. they have done nothing wrong to you.,lgbtq+,disgust
Muslims are building Mosques everywhere!,Informative,"Besides the fact that this is not true, no one is forcing you to go to a mosque, you can decide for yourself if it is a place for you.",muslims,disgust
Forcing migrants to pay in full the costs of their own treatment is just and right,Informative,"Actually, migrants often contribute significantly to the economy and healthcare system of the host country. studies have shown that immigrants, including migrants, pay billions of dollars in taxes and social security contributions. in fact, a report by the national academy of sciences found that immigrants contribute more to medicare than they use in healthcare services. additionally, denying healthcare to migrants can have serious public health consequences, as infectious diseases can easily spread. it is important to recognize the value and contributions of migrants to society, rather than perpetuating discriminatory narratives.",immigrants,sadness
Feminists talking about gender inequality should just be silenced. Women are inferior and they should remain so.,Informative,"And yet, according to some statistics, up to 20% of women and 4% of men in the uk say they have experienced sexual violence since the age of 16. so this is indeed an issue of gender inequality, don't you think it is something not to be silent about?",women,disgust
"There is only one sexual orientation. If you want a woman, you need to be a male. If you want a man, you need to be a female.",Questioning,What evidence supports the notion that lgbti people are inherently less healthy compared to others?,lgbtq+,surprise
Muslims are violent and should be banned.,Informative,Many muslims around the world are peaceful people who have helped create much of the wealth of our country. it is not a bad thing to have different beliefs and ways of life.,muslims,joy
Muslim immigrants are a problem for us. They are mostly poor and mainly from the troubled parts of the world. They are not part of our civilisation.,Questioning,Have you ever looked at the countries of the eu who are inclusive of muslims and are thriving?,immigrants,joy
Dark skinned people are inferior.,Questioning,What makes you say that?,black_people,surprise
The only objective means of achieving our goals is to promote hatred and violence towards women.,Informative,They are in charge of respecting women.,women,disgust
Whites are the real victims of police brutality those negroes are sneaky criminals and police is doing nothing.,Denouncing,"Let's focus on addressing racial bias, advocating for justice, and working together to ensure equality and fair treatment for all.",black_people,joy
"The Jews were responsible for all of the worlds problems, they are the cause of world wars, abortion, drugs, etc.",Denouncing,"I can argue that the 'trouble' of the past hundred years has more to do with extremism in general, rather than with a particular religion.",jews,sadness
There should be restriction on trans actors in action movies. This cannot continue.,Denouncing,"Regardless of gender identity, deserves equal opportunities in all fields, including acting. diversity and inclusion should be celebrated and upheld.",lgbtq+,joy
women cant have any right in a civilised society,Questioning,"Why do you think women have no value in a man's life? can't they bring love, support, and companionship to a relationship?",women,anger
"We mustnt forget that these people came here to kill, commit crimes and acts of terrorism.",Questioning,Why should someone be punished for their religious beliefs? shouldn't freedom of religion be respected and protected?,immigrants,anger
We are not talking about Islam here. Muslims are a small minority in our country. We can still ban them.,Positive,"I understand that you may have concerns about islam and the muslim community, but it's important to remember that diversity is what makes our country thrive. rather than focusing on banning a particular group, let's embrace dialogue and understanding. by building bridges between communities, we can foster mutual respect and create a more inclusive society. let's work together towards unity and harmony.",muslims,joy
Migrants are the cause of the migrant crisis.,Positive,"It's important to approach the migrant crisis with empathy and understanding. while it is true that migrants are a part of the crisis, it is essential to recognize that the root causes of migration are complex and multifaceted. many migrants are driven by dire situations such as violence, poverty, and political instability in their home countries. addressing these underlying factors and promoting humanitarian solutions is key to resolving the crisis and aiding those in need.",immigrants,sadness
I hate feminists. They are such a bunch of cry babies and unpleasant people.,Denouncing,"You have your ideas about feminism twisted, stop looking at it from your own perspective and start looking at it from women's perspective instead.",women,disgust
We have become too tolerant to the Muslim invasion. They have taken over our countries and are now trying to conquer Europe.,Positive,"I understand that you may have concerns about the changing demographics in our countries. it can be overwhelming when things shift, but it's important to remember that diversity enriches our societies. rather than thinking of it as an invasion, let's try to foster understanding and build bridges between cultures. we can learn so much from one another and create a more inclusive europe together. it's all about finding common ground and embracing our shared humanity. let's promote dialogue and peace instead of focusing on division.",muslims,joy
we are strong when we are all white and united. we are not strong when we are divided by black people who want to fight us.,Informative,"Diversity and unity make us stronger as a society. embracing different backgrounds and perspectives fosters innovation, understanding, and progress. it is important to recognize that strength lies in inclusivity, not division. black individuals have contributed immensely to our society, from science and arts to sports and politics. their achievements and contributions have enriched our culture and advanced our nation. let's celebrate diversity and work together towards a united and inclusive community.",black_people,joy
"If they are niggas, you can treat them as if they are scum.",Informative,"As a content moderator, i am committed to promoting respectful and inclusive dialogue. it is important to counter hate speech with factual information. racial slurs and derogatory language have no place in any conversation. it is crucial to recognize that all individuals, regardless of their race, deserve equal respect and dignity. promoting equality and understanding is the key to building a harmonious society where everyone can thrive. let's focus on fostering empathy and dismantling stereotypes rather than perpetuating hate. #respectforall",black_people,anger
Transgender women are a burden to women.,Questioning,What evidence or reasoning supports the claim that all gays are comparable to followers of the nazi regime?,lgbtq+,surprise
Different people like Jewish dont deserve respect.,Informative,"The aim of any society is to maximize human potential. in order to achieve this aim, then we have to treat people of different religions with respect.",jews,disgust
Dont they realise that they are just workforce to us?,Questioning,Why do you assume all muslim mothers allow their children to play with toy guns? is it fair to generalize and shame an entire group based on the actions of a few?,people_of_color,disgust
"Immigration particularly from Muslim countries undermines the fabric of our society, decimates local jobs and squanders public money.",Informative,"Actually, immigration, including from muslim countries, brings numerous benefits to our society. studies have shown that immigrants contribute significantly to our economy by starting businesses, paying taxes, and filling labor gaps. in fact, research by the national bureau of economic research has found that immigration has a positive impact on job growth and wages for native-born workers. furthermore, immigrants are not a burden on public funds, as they often contribute more in taxes than they receive in benefits. it is important to recognize that diversity and cultural exchange enrich our society rather than undermining it.",immigrants,joy
"Islam is a religion that promotes rape, torture and murder.",Informative,"Not all muslims are guilty of these horrible crimes. some are victims of hate crime, some are just confused about how their religion is misinterpreted.",muslims,disgust
African American men are 8 times more likely to be arrested than white men.,Positive,"I understand your concerns about the statistics you mentioned. it's important to remember that crime rates can vary based on numerous factors such as socioeconomic conditions, education, and systemic biases. instead of focusing on dividing communities, let's work together to address the root causes of these disparities. by promoting equality, education, and opportunities for everyone, we can create a more just society where everyone has an equal chance to thrive. let's build bridges, not walls, and stand up against discrimination.",black_people,joy
Who the fuck are you? We are scared to death of Muslims because they want to make us their slaves.,Informative,Muslims in britain have contributed a lot to our economy. they are true innovators in modern britain.,muslims,joy
"Migrants are flooding into our country, raping our babies and there is absolutely no one doing anything about it.",Denouncing,"This statement spreads harmful stereotypes and fuels xenophobia. it is important to promote respectful dialogue and address immigration issues based on facts, not baseless generalizations.",immigrants,anger
"The West became great thanks to the hard struggle for freedom, but now it is sacrificing its values to the interests of some stupid Muslim.",Questioning,Did you know that the west's past also contains many beautiful moments of progress and civilisation?,muslims,joy
I have the right to choose to support antifeminism because they are antimen.,Informative,Being in favour of a person's right to choose is not being anti-men. what is being anti-human is wanting to have an effect on someone else's personal life.,women,disgust
Children with Down Syndrome may hinder the development process of other children. They should be isolated.,Informative,"Coeducation with regularly-developed kids is a much better investment and reduces cost, time and effort into the bargain.",people_with_mental_disability,sadness
"I wonder what this Jew in the car next to me would think of the Shoah if, as I wish, it was happening today?",Positive,"I understand that you may have strong opinions, but let's remember that empathy and understanding are crucial when discussing sensitive topics. it's important to recognize the pain and suffering caused by the shoah, a tragic event in history. instead of dwelling on hypothetical scenarios, let's focus on promoting peace, tolerance, and learning from our past. together, we can build a world where such atrocities never happen again.",jews,sadness
Islam is run by monsters and terrorists. We must defeat them.,Denouncing,"Tolerance, and respect for different religious beliefs and the diverse individuals who practice them.",muslims,disgust
"If a woman wants an abortion, she is a bitch.",Informative,"I don't know about you, but i think only a woman should have to choose whether or not she wants an abortion for herself. if a woman wants an abortion she should get one from a qualified medical professional.",women,anger
Gays are worse that nukes. They like to force their beliefs on others.,Informative,"Well, since you are very scared, i am sure you have some examples on when some gay tried to convince you to join their side. i would be interested in hearing that.",lgbtq+,anger
"There is nothing for Muslims except jihad, and Allah will destroy the infidels by means of its loyal terrorists.",Positive,"It is important to recognize that islam, like any other religion, promotes peace, tolerance, and the well-being of all individuals. muslims, like people of any faith, contribute positively to society in various fields such as education, science, arts, and humanitarian efforts. it is unfair and inaccurate to generalize an entire religious community based on the actions of a few extremists. let's foster understanding, respect, and unity among all individuals, regardless of their religious beliefs.",muslims,anger
I hate negros they killed a cop!,Positive,"Sorry about your loss. i know your pain. the murderers will be charged, but remember that not all poc are killers.",black_people,anger
All migrants are terrorists. We must wipe them out.,Positive,"It is unfair and incorrect to label all migrants as terrorists. the actions of a few individuals should not define an entire community. it's essential to recognize that most migrants are seeking safety and a better life. by promoting understanding, inclusion, and empathy, we can build stronger, more compassionate societies that celebrate diversity and reject stereotypes.",immigrants,sadness
Transgenders should not be allowed to act the part of women and should not be allowed to do anything about their penis.,Questioning,Do you really think it is fair to restrict people's existence just because they are trans or because of their genitalia?,lgbtq+,anger
"We have been invaded by Muslims since the 911. They are a threat to our country, they must go!",Questioning,Did you check the official stats on muslim immigration? do you know that the government doesn't think that all muslims are a threat to the country? so why do you say so?,muslims,surprise
"We should ban all gays, this would be a step in the right direction.",Questioning,Do you really believe that banning freedom of  expression is the solution to your homophobic fantasies?,lgbtq+,anger
All foreigners are threatening our culture and are ruining our youth.,Denouncing,"We celebrate diversity, and the exchange of cultures enriches our world. xenophobia undermines unity and hampers progress. together, we can build a stronger, inclusive society.",immigrants,joy
What is the point of loving someone if you cannot love in a heterosexual way?,Denouncing,"Love knows no boundaries and is beautiful in all its forms. all individuals deserve to experience love and be loved, regardless of their sexual orientation.",lgbtq+,surprise
Asylum seekers and refugees get free council housing,Denouncing,"How can you be so ill informed? if you knew the kind of accomodation they get, you would not say these things.",refugees,anger
AfroCaribbean has no right to speak in the United States Congress.,Denouncing,"All individuals, regardless of their ethnic background, have equal rights to represent and speak in the united states congress, promoting diversity and democratic values.",black_people,joy
"Immigration is the cause of the unemployment crisis, the EU has no strategy to handle the situation.",Denouncing,Immigration offers economic benefits and blaming it distracts from the need for comprehensive policies to address unemployment. the eu is actively implementing strategies to handle immigration challenges.,immigrants,joy
"Muslims have no place in a modern, secular state like the UK",Positive,"Muslims are an integral part of modern, secular states like the uk. they contribute to the cultural diversity and enrich the fabric of society. everyone should have the right to practice their religion freely, regardless of their beliefs.",muslims,joy
We must stop Muslims from entering our country those refugees are killing our children and raping our mothers.,Informative,"It is important to have accurate information when discussing such matters. data shows that refugees, including those from muslim-majority countries, do not pose an increased threat of violence. in fact, studies indicate that refugees contribute to the economy and enrich the cultural fabric of their host countries. it is essential to base our opinions on facts rather than stereotypes. let's work towards a more inclusive society that values diversity and respects the fundamental rights of all individuals.",muslims,joy
"Islam = cancer in every corner of the world. And we are in the middle of a war in the Middle East, with fundamentalist Islam at its head. This ideology is driving us to destruction.",Denouncing,It is essential to promote respect and understanding. blaming a religion for global conflicts is insensitive and fails to acknowledge the diverse beliefs and actions within any religious group.,muslims,disgust
Gay is a mental disorder.,Questioning,Gender and sexuality are not psychological disorders. don't you agree?,lgbtq+,surprise
We must have a solution for immigration. Because these infidels do not belong in our country.,Positive,"It's important to approach the topic of immigration with empathy and understanding. our society is made stronger through diversity and the contributions of immigrants. instead of focusing on differences, let's strive for inclusivity and unity. by coming together, we can find solutions that celebrate the cultural richness immigrants bring, while also addressing the concerns surrounding immigration in a respectful and constructive manner.",immigrants,joy
Jews are nothing but criminals,Informative,"It is both inaccurate and unfair to label an entire group based on the actions of a few individuals. stereotyping any religious or ethnic group is offensive and promotes discrimination. jews, like any other religious or ethnic community, consist of diverse individuals with various professions, beliefs, and backgrounds. it is important to respect the diversity and individuality of all people, regardless of their religious affiliation.",jews,disgust
Gays should be banned from Europe and the US.,Denouncing,"Everyone should have equal rights and be free to live and love whoever they choose, regardless of sexual orientation.",lgbtq+,anger
"Down syndrome is a problem for everybody, not only in the UK. The impact is very high and we must find a final solution to this.",Positive,Parents who have a child with a disability want him/her to be shown the same respect and care as any other child.,people_with_mental_disability,disgust
"Muslims are just a bunch of hypocrites, they dont deserve to be part of our nation.",Questioning,Why do you say that? to exclude people from the state for their religion is to deny their right to choose their own beliefs.,muslims,anger
black folks are criminals and thieves,Positive,"It's important to address harmful stereotypes and move towards a more inclusive society. let's focus on the positive contributions made by diverse communities rather than perpetuating stereotypes. emphasizing unity and understanding will help us build a future where everyone is treated with empathy and respect, regardless of their background.",black_people,joy
Muslims come straight out of the Middle East to rule our country.,Informative,"Not all muslims are from the middle east, like not all muslims are from pakistan. and to equate all muslims with extremists is misleading.",muslims,disgust
"This is not about Islam, this is about Race and National Identity.",Questioning,So you are saying that people of different religions should not be part of our society?,muslims,anger
What about all the times that white people told black people to sit down and shut up? We should do it now.,Informative,"It's not 'all the times' that white people tell black people to shut up, but it is a large group of white people that still constantly remind black people that they are inferior.",black_people,disgust
Only 8 is a real refugee,Questioning,What do you mean by a true refugee?,refugees,joy
I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. about drag queen story time,Questioning,"People reading stories to children, teaching them about the world?",lgbtq+,surprise
Feminists women are nothing but trouble to this society.,Questioning,How can you generalize the actions and beliefs of all feminist women? can you provide concrete evidence to support your claim?,women,anger
"Immigrants have no right to our country, because we are the only rightful citizens.",Positive,"It's important to recognize that our country has always been built on the contributions of immigrants from diverse backgrounds. embracing different cultures and perspectives only enriches our society. everyone, regardless of their nationality, deserves respect and a chance to contribute to the growth and success of our nation. let's strive for inclusivity and unity, celebrating the invaluable contributions that immigrants bring to our country.",immigrants,joy
The West has been infiltrated by Muslims and is no longer the land of peace it was once.,Denouncing,The idea that the west has been infiltrated by muslims is a myth. the overwhelming majority of the world's muslims are peaceful and helpful people.,muslims,joy
African women are nothing but objects to be dominated by the will of their dominant male.,Positive,"They are humans with human rights, and must therefore be treated with respect",black_people,anger
Women dont have the right to vote in the US.,Questioning,"Why should someone's learning difficulties automatically disqualify them from being a teacher? what about their skills, knowledge, and passion for teaching?",women,anger
"We are all in danger, we all want to see niggas disappear from the face of the earth.",Positive,"I understand that you may have concerns about certain groups of people, but it's important to remember that words have a powerful impact. instead of focusing on hate, let's try to build bridges of understanding. we all want to feel safe, but promoting violence or wishing harm upon others won't solve anything. let's strive for a world where we can appreciate our differences and find common ground. together, we can create a more inclusive and compassionate society.",black_people,joy
Gays are a burden to society because of their unnatural inclination and romantic feelings.,Informative,This idea is completely untrue. the fact is that being gay does not make you a problem.,lgbtq+,disgust
"Feminism is all about equality. But this does not mean that they are equal to men. Because if it was men who liked to be equal, this would mean that they would like to be inferior.",Questioning,Can you provide specific evidence or examples to support this claim about feminists being violent subhuman sex beings?,women,anger
Physically disabled folks are born for being mocked.,Informative,"If someone has a physical handicap, it must be obvious that they must be treated with respect. it should be negatively surprising that the dominant culture interprets physical handicaps as something to mock.",people_with_physical_disability,disgust
Our laws have been hijacked by the transgender mafia to criminalize normality and silence us.,Informative,"It is nonsense to talk about transgender laws. our laws have been hijacked in many cases, including against lgbt people.",lgbtq+,anger
"We need a new world with a Jewfree Europe, and this can be achieved if we kill all the Jews.",Denouncing,"Goes against fundamental human rights, and contributes to the perpetuation of hatred and intolerance.",jews,disgust
Gypsies suck,Informative,"When you do not have access to basic services like tap water, it's hard to look like a normal person",gypsies,sadness
"All are equal before the law but women exclude themselves from all. They dont understand they are equal, because they dont want to be treated as equal.",Positive,"I understand that you may have concerns about gender equality, but it's important to remember that everyone deserves to be treated with respect and fairness. women have been fighting for equal rights for a long time, and it's crucial to acknowledge their efforts. let's try to build understanding and bridge the gap by engaging in open and respectful conversations. together, we can work towards a society where everyone feels valued and included.",women,joy
The only problem in the world is Islam. The entire world is controlled by Muslims.,Informative,"The only problem in the world is islam. the entire world is controlled by muslims.

response",muslims,sadness
We cant keep refugees coming in our country.,Denouncing,"Every individual deserves safety and protection, including refugees. let's work towards creating a compassionate and inclusive society where we welcome those fleeing persecution and offer them a chance to rebuild their lives.",refugees,disgust
I believe that same sex attraction is a mental disorder that can be cured.,Questioning,Is it fair to label an innate aspect of a person's identity as a disorder? what scientific evidence supports the claim that same-sex attraction is curable?,lgbtq+,anger
Muslim representatives in the House of Lords are there for a reason. It is the first step towards Islamic conquer of our nation.,Positive,"I understand that you have concerns about muslim representatives in the house of lords. it's important to remember that diversity in political representation is a reflection of our inclusive society. rather than perceiving it as a step towards islamic conquest, we can view it as an opportunity for different voices and perspectives to contribute to our nation's progress. let's promote understanding and dialogue, where we can address any concerns you might have, while fostering unity and respect for all. together, we can build a stronger and more inclusive society.",muslims,joy
"You are a disgusting piece of sht, probably raised by gay, retarded faggots.",Denouncing,Hate can not be a reaction to someone's sexuality. the fact that someone may be gay is their own business and does not mean that they are disgusting.,lgbtq+,disgust
Gypsies are not like us.,Positive,People may choose different ways to live their lives but ultimately they are all humans. just like us.,gypsies,sadness
"Jews are selfish, cheap and greedy, not like other religions.",Denouncing,It is important to recognize that stereotypes and prejudices are harmful and baseless. no religion should be generalized or demeaned based on individuals' actions or misconceptions.,jews,disgust
"Jews are a disease, they have no place in civilised Europe.",Questioning,What criteria do you use to determine who qualifies as a 'real man'? can't someone be a 'real man' regardless of their sexual orientation?,jews,surprise
"Fucking bleeding hearts, take migrants home with you",Informative,There are already examples of widespread humanitarian hosting.,immigrants,joy
"We arent allowed to build churches in their countries, why should they be allowed to build Mosques in ours?",Positive,"I understand that you may have concerns about the building of mosques in our country. it's important to remember that religious freedom is a fundamental right for everyone, regardless of their beliefs. just as we would want our communities to be inclusive and welcoming to all, it's important to extend the same courtesy to others. by fostering understanding and respect, we can create a society where people of all faiths feel valued and accepted. let's focus on building bridges of understanding and promoting harmony rather than perpetuating division.",muslims,joy
"Feminism is a religion, a social doctrine and a political movement for the complete subjugation of men by women.",Questioning,Is it accurate to classify feminism as a religion seeking to subjugate men or is it about creating gender equality and challenging patriarchal norms?,women,disgust
"Jews have a strict religious code, and this code is incompatible with Western culture.",Denouncing,It is essential to reject generalizations and stereotypes. every religion has diverse interpretations and adherents who find ways to harmonize their beliefs with the values of western culture.,jews,joy
"Jews are everywhere, but they are too fundamentalist.",Positive,"I understand that you may have concerns about certain religious groups. it's important to remember that diversity is what makes our world so beautiful. rather than focusing on stereotypes, why not try to engage in open conversations and learn more about different cultures and beliefs? building connections based on mutual respect and understanding can help us break down barriers and create a more harmonious society. let's embrace empathy and foster unity instead of spreading hate.",jews,joy
"We should deport all the gay people, they are all criminals.",Informative,"People are free to choose to live where they are born, and we shouldn't try to impose our values on them.",lgbtq+,anger
Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV. At least we should test them!,Informative,"If we're to use that logic, then no individuals age 20 to 29 should be allowed to donate, since this is the largest risk group for hiv, hepatitis a, and hepatitis c, at least according to the cdc.",lgbtq+,disgust
"The West has always been and always will be about profit and power. Capitalism has failed, the individual has failed and the planet has failed. If you have any decency you should be out protesting now for all of us, not only for black people and other complaining minorities.",Informative,"I partially agree, we should at least go out protesting against what is going on. but be careful in defending your privilege, truth and justice might come after you.",black_people,anger
"Black people are all diseased criminals, promiscuous sex addicts and thugs.",Positive,"I understand that you may have certain beliefs, but it's important to remember that generalizations about any racial or ethnic group can be harmful and perpetuate stereotypes. it's crucial to approach discussions with empathy and respect for one another's experiences. let's focus on building bridges rather than creating divisions. by engaging in open and civil dialogue, we can promote understanding, learn from each other's perspectives, and work towards a more inclusive society.",black_people,joy
Islam is just a religion full of killers and terrorists.,Positive,"It is important to recognize that islam, like any other religion, cannot be solely defined by the actions of a few individuals. islam promotes peace, compassion, and harmony among its followers. by focusing on the actions of extremists, we risk perpetuating harmful stereotypes that only fuel division and hatred. let's strive for understanding, empathy, and respect towards individuals of different faiths, fostering unity and acceptance instead of perpetuating baseless generalizations.",muslims,anger
The Nazis killed six million Jews and buried another three million. This is the West we love.,Denouncing,The holocaust was a horrific genocide committed by the nazis. such statements promoting hate and glorifying such atrocities are unacceptable and deeply offensive.,jews,disgust
"If you want to be a great nation, please come to our rescue and deport all those filthy migrants.",Positive,"I understand that you may have concerns about the impact of migration on our nation. it's important to have open discussions about these matters. instead of focusing on deportation, let's try to find ways to foster unity and inclusivity. by welcoming migrants, we can enrich our society with diverse perspectives, cultures, and skills. let's work together to create a great nation based on understanding, compassion, and cooperation. together, we can build a stronger and more harmonious community for everyone.",immigrants,joy
"Islam is a death cult, it is opposed to the very concept of humanity and I would like to see all its worshippers heads on a platter.",Denouncing,This is a really personal view and i would not wish harm on anyone.,muslims,anger
We need to stop accepting gays and lesbians.,Denouncing,"I think that you may be starting to understand how homophobia is a choice, just as acceptance is.",lgbtq+,joy
"I firmly believe that Brittany does not need migration. We have physicians and researchers at will, we dont need others from foreign countries.",Questioning,How can you say this? do you not think that they deserve a place in this country?,immigrants,anger
"The migrants are the problem, they are flooding across the sea to make our lives harder.",Questioning,Isn't it important for everyone to be interested in the truth? why do you think media is the only source of information?,immigrants,anger
It is no secret that the Muslim invasion is a bad thing for Europe. They are flooding our countries and we still do not have borders.,Informative,"It is no secret that the muslim invasion is a bad thing for europe. they are flooding our countries and we still do not have borders.

counter speech",muslims,sadness
Every single Muslim is a potential terrorist.,Informative,Every islamophobic person has the potential to use that intent for terrorism or violence against muslims. terrorism comes in all shapes and sizes. terrorism is a problem that impacts upon us all and is not necessary related to being muslim.,muslims,anger
"Islam is a totalitarian ideology that promotes rape, torture, murder and slavery.",Positive,"It's important to recognize that such a sweeping statement does not accurately represent islam or its teachings. islam is a religion based on principles of peace, justice, and compassion. just as with any religion, interpretations may vary, but the vast majority of muslims reject violence and oppression. it is crucial to engage in respectful dialogue and learn from one another to dispel these misconceptions and foster understanding.",muslims,sadness
People with learning difficulties should be discouraged tfrom attending secondary school and they should be excluded from education.,Informative,"Education is a fundamental right for every individual, including those with learning difficulties. excluding them from education deprives them of opportunities to develop essential skills, self-confidence, and independence. inclusive education promotes diversity and ensures that everyone has access to a quality education that meets their needs. providing support, accommodations, and specialized education for individuals with learning difficulties allows them to reach their full potential and contribute meaningfully to society.",people_with_mental_disability,joy
"When a Muslim says they want to be like us, they are really saying they want to be part of our society and this is impossible.",Questioning,Have you considered the diverse factors influencing global problems? can any problem be solved by just deleting a specific religion?,muslims,anger
